song_id,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
1166,0.2574424,-0.34977227,0.35252026,0.3000058,-0.23397705,0.25748563,0.15899521,-0.23437661,-0.33462143,-0.33167645,0.0212142,-0.034105934,0.001697114,-0.29644212,0.13423438,0.1647931
1600,-0.28316385,0.6706713,0.2984156,-0.32360554,0.79853386,0.7573154,-0.3509467,-0.15787433,-0.005192971,-0.38378236,-0.08387961,-0.36340597,0.52152205,-0.56176174,-0.8328396,-0.35228705
1614,0.12648752,0.0006373375,0.46535572,0.008491029,-0.13434795,0.1158763,-0.08010498,-0.15445183,-0.35231814,-0.43910292,-0.045077506,-0.030018503,0.18427554,-0.22568412,-0.10578327,0.037926994
380,0.36229447,0.2861713,0.5696371,0.43974036,0.06919639,-0.18761024,-0.48878935,-0.38138774,0.4053939,-0.034462627,-0.06653708,0.33457765,0.4415337,0.37804624,0.0011867651,0.49885938
1172,0.13565105,-0.3712968,0.4677628,0.52022403,-0.24268457,0.17646722,0.25122926,-0.03381595,-0.31491753,-0.266182,0.025314055,0.1625395,-0.13240522,-0.3533499,0.3378013,0.16172886
1628,-0.38347515,-0.18963608,0.07595665,0.009077091,-0.048245903,0.2836834,0.37073228,-0.25784346,0.5047809,-0.0896483,0.15754358,0.3613303,-0.17441982,0.065924756,0.050496455,-0.16480824
1629,-0.13802664,-0.019820668,0.04255377,0.2022296,-0.04462578,0.0047213235,0.33803788,-0.15038788,-0.23402683,-0.08552642,-0.3413171,-0.31678215,-0.09060024,-0.2515579,-0.15793484,0.051341493
381,-0.12545447,-0.3404842,0.14858398,0.22021985,0.116425894,-0.45157415,-0.72062975,-0.6221501,0.16078436,-0.47823894,-0.48880392,0.8566891,0.5175828,0.24512428,0.2939844,-0.4518729
1615,0.08774614,-0.071516,0.32242155,0.14000481,-0.1320072,-0.07895784,0.11790406,-0.20193948,-0.23811153,0.01796721,-0.28339842,0.07832781,0.009183596,-0.090018295,-0.2649506,0.15429261
1173,-0.1902796,-0.15008761,-0.12917456,0.35486656,-0.4786814,-0.2598309,-0.20159774,-0.1422708,0.1259657,-0.26222232,-0.11399182,0.15471771,-0.27922073,-0.033276614,-0.09912941,0.16198538
1167,-0.57697725,-0.5501426,0.34068123,0.11095044,-0.6038842,-0.41277912,0.18150921,0.25486284,-0.23675676,-0.48922902,0.07692306,0.2357947,0.03587116,0.3960794,0.030719282,0.44994983
1601,-0.52774787,0.36013117,0.28543878,-0.073651314,-0.30678755,-0.38414502,-0.2644428,-0.052299816,-0.24588907,-0.21830595,0.32776704,0.12510522,0.28510308,-0.1919958,-0.41537985,0.12530732
395,-0.17952661,0.2597702,-0.12424916,0.07892966,0.38014513,-0.47817075,-0.32837862,-0.4136152,0.23885475,0.13418506,0.02449745,0.60125875,0.36158922,0.17650254,-0.4286244,0.09011538
1832,-0.101991326,-0.271685,0.63198745,-0.10751912,0.103437535,0.07621179,-0.45248517,-0.43144694,-0.34713405,-0.2445889,-0.27320093,-0.4573595,-0.045189865,-0.7793422,-0.14416729,-0.033235293
1198,-0.12837109,-0.19311725,0.34734455,0.38906336,-0.4453462,-0.08314219,0.06840402,0.11665005,-0.14321545,-0.3401965,0.52835274,-0.037443526,0.10240112,-0.15065551,0.35091,0.2733723
1826,-0.03450672,-0.037301388,0.059752226,-0.46355572,0.2183541,-0.21254325,0.2504768,0.10299937,-0.32823828,0.034960084,-0.33967313,-0.17372504,0.23167995,-0.13003527,0.053723652,0.36898857
342,0.33364144,0.056305658,0.16937633,0.34784132,0.016269965,0.34924072,-0.23444843,-0.21741417,-0.47120136,-0.25721195,-0.040675364,0.15373656,-0.12183834,-0.20978552,0.17512526,0.15384738
430,0.124114946,0.00043483448,0.49901795,0.24925359,-0.015420052,-0.15087998,-0.50238633,-0.12424327,0.33053985,-0.17551483,0.013794687,0.4946567,-0.0040860022,-0.0268045,-0.203849,0.25643072
356,0.47863474,0.11931747,0.5936559,0.3654286,0.42683414,0.39046207,-0.61086136,-0.099758714,-0.17109384,-0.53269434,-0.4317375,-0.11379711,0.65871114,-0.7986328,-0.1096284,0.3219542
801,-0.25762522,0.55200756,-0.7188176,0.19099736,-0.021982485,-0.44517478,0.16843195,-0.031218253,-0.10887925,-0.6139447,0.55358565,0.31336287,-0.33536744,0.34272757,0.14518997,0.26849788
41,0.23945276,-0.09520338,-0.32408124,0.09511731,0.231144,0.16321652,0.03046514,-0.055340055,0.058268897,-0.17497538,-0.10490465,0.43438122,0.37239945,0.29170576,0.14258736,0.53362787
7,0.6345167,-0.08691714,0.3891462,0.080196716,0.08448105,0.22802615,-0.38253698,-0.39069423,-0.39574212,-0.19575834,-0.22088686,0.48213014,0.5512006,-0.15179674,0.079694964,0.09652643
815,-0.10569434,0.11656547,0.08347853,-0.09061921,-0.13975786,-0.29006377,-0.5929967,-0.0704062,0.3770996,0.37507364,0.20727287,0.4074135,0.28879285,-0.1675243,-0.26056626,0.6733142
1359,-0.0722283,0.4101799,-0.20528652,0.6796673,0.14881061,-0.7469874,0.5508382,-0.6077806,-0.3470174,0.43075356,0.76022947,0.50794154,0.70110023,-0.8358673,-0.073407196,-0.2009762
55,0.17038026,-0.1221727,-0.07893748,0.1656766,-0.46217266,-0.0381501,-0.16211583,-0.6691024,0.04629064,-0.21157193,-0.59668875,0.49903882,-0.053976126,0.718011,0.2521612,0.010091159
